COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Djibouti,DJI,EMRO,REPORTING,2022-04-09,172366,151828,17.446,15.367,111798,11.316,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-15,6,,
Dominica,DMA,AMRO,REPORTING,2022-04-08,66166,32491,91.909,45.132,30029,41.712,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,4,3646,5.065
Dominican Republic,DOM,AMRO,REPORTING,2022-04-08,15449816,7195965,142.422,66.335,5944898,54.802,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3,2308953,21.285
Ecuador,ECU,AMRO,REPORTING,2022-04-08,33696514,15060019,190.99,85.359,13808275,78.265,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4,5384020,30.516
Egypt,EGY,EMRO,REPORTING,2022-04-12,80130948,45884414,78.303,44.838,33441703,32.679,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-24,6,2198058,2.148
El Salvador,SLV,AMRO,REPORTING,2022-04-08,10513713,4571718,162.093,70.484,4288368,66.115,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,6,1538535,23.72
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-03-24,467504,259685,33.322,18.509,207819,14.813,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-02-12,2,,
Estonia,EST,EURO,REPORTING,2022-04-10,2059566,840547,155,63.248,835741,62.886,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,447880,33.701
Eswatini,SWZ,AFRO,REPORTING,2022-03-20,509424,387509,43.91,33.401,318360,27.441,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,3,66331,5.717
Ethiopia,ETH,AFRO,REPORTING,2022-04-10,29411822,24769870,25.584,21.546,21290883,18.52,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-13,4,346273,0.301
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632,126.529,75.567,1775,50.962,AstraZeneca - AZD1222,,1,,
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,2022-04-01,1428275,682439,159.327,76.127,628308,70.089,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",2021-03-07,3,117528,13.11
Finland,FIN,EURO,REPORTING,2022-04-10,11726962,4523470,212.2,81.868,4323678,78.252,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,2879814,52.121
France,FRA,EURO,REPORTING,2022-04-10,155294157,54810975,230.7,81.418,53978383,80.182,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,47573083,70.667
French Guiana,GUF,AMRO,REPORTING,2022-04-08,225350,97151,75.448,32.527,87846,29.411,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,2,40353,13.51
French Polynesia,PYF,WPRO,REPORTING,2022-03-23,,186128,,66.259,,,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-18,2,,
Gabon,GAB,AFRO,REPORTING,2022-03-24,550042,298245,24.713,13.4,251797,11.313,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-03-23,3,,
Gambia,GMB,AFRO,REPORTING,2022-03-20,363353,331266,15.035,13.708,318161,13.165,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-10,2,,
Georgia,GEO,EURO,REPORTING,2022-04-03,2651941,1273400,66.5,31.921,1156228,28.984,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-17,4,222313,5.573
Germany,DEU,EURO,REPORTING,2022-04-10,172399839,63713514,207.3,76.609,63239554,76.04,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,49056963,58.986
Ghana,GHA,AFRO,REPORTING,2022-04-06,,9188300,,29.57,5432093,17.482,"Gamaleya - Gam-Covid-Vac,SII - Covishield",2021-03-02,2,183315,0.59
Gibraltar,GIB,EURO,OWID,2022-04-07,118943,42046,353.041,124.799,41336,122.692,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,35561,105.55
Greece,GRC,EURO,REPORTING,2022-04-10,20712225,7888375,193.2,73.595,7690143,71.746,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,5707472,53.248
Greenland,GRL,EURO,OWID,2022-03-07,79745,41243,140.465,72.647,38502,67.819,Moderna - mRNA-1273,,1,,
Grenada,GRD,AMRO,REPORTING,2022-04-08,87353,43321,77.631,38.5,38018,33.787,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-15,4,6014,5.345
Guadeloupe,GLP,AMRO,REPORTING,2022-04-08,370497,147667,92.596,36.905,141653,35.402,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-08,6,81177,20.288
Guam,GUM,WPRO,REPORTING,2022-03-17,334957,152229,198.464,90.196,137851,81.677,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-04,3,56737,33.617
Guatemala,GTM,AMRO,REPORTING,2022-04-08,16528362,7986251,92.257,44.577,6046134,33.748,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-25,5,2495977,13.932
Guernsey,GGY,EURO,OWID,2022-03-23,150724,,233.797,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,,
Guinea,GIN,AFRO,REPORTING,2022-03-21,5952680,3472605,45.327,26.442,2480075,18.885,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6,,
Guinea-Bissau,GNB,AFRO,REPORTING,2022-04-07,93,81,0.005,0.004,87,0.004,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-02,2,20,0.001
Guyana,GUY,AMRO,REPORTING,2022-04-08,894938,472988,113.78,60.134,362605,46.101,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-11,6,59345,7.545
Haiti,HTI,AMRO,REPORTING,2022-04-08,255729,167891,2.243,1.472,115420,1.012,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2,,
Honduras,HND,AMRO,REPORTING,2022-04-08,11904698,5300577,120.194,53.516,4583225,46.274,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,6,2021271,20.407
Hungary,HUN,EURO,REPORTING,2022-04-10,16339709,6340691,167.3,64.903,6133772,62.785,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7,3817412,39.075
Iceland,ISL,EURO,REPORTING,2022-04-03,797004,306009,218.9,84.037,296252,81.358,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,248616,68.276
India,IND,SEARO,REPORTING,2022-04-12,1860524339,994508212,134.82,72.066,841253632,60.96,"Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,Zydus - ZyCov-D",2021-01-16,6,24762495,1.794
Indonesia,IDN,SEARO,REPORTING,2022-04-12,387424190,197664548,141.642,72.266,161769783,59.143,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,7,27989859,10.233
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2022-04-10,147059668,64043029,175.086,76.248,57117576,68.003,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Shifa - COVIran Barakat",2021-02-09,6,25899063,30.835
Iraq,IRQ,EMRO,REPORTING,2022-04-13,17906725,10441615,44.519,25.96,7303520,18.158,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-03-02,4,161590,0.402
Ireland,IRL,EURO,REPORTING,2022-04-10,10732106,4029770,216.2,81.173,3982502,80.221,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,2956469,59.553
Isle of Man,IMN,EURO,OWID,2022-04-05,189681,69532,223.07,81.772,67024,78.822,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,53125,62.476
Israel,ISR,EURO,REPORTING,2022-03-27,14240684,6656355,164.5,76.903,6013079,69.471,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-16,3,1571250,18.153
Italy,ITA,EURO,REPORTING,2022-04-10,135066130,50351339,226.5,84.428,47398380,79.472,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,38795714,65.048
Jamaica,JAM,AMRO,REPORTING,2022-04-08,1401431,783563,47.327,26.461,677240,22.871,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-10,5,34130,1.153
Japan,JPN,WPRO,REPORTING,2022-04-07,259734137,102744247,205.362,81.236,100835084,79.726,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-17,4,56154806,44.399
Jersey,JEY,EURO,OWID,2022-04-03,229131,82878,212.56,76.884,79615,73.857,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,61930,57.451
Jordan,JOR,EMRO,REPORTING,2022-04-11,10140694,4750996,99.388,46.564,4750955,46.564,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,6,642717,6.299
Kazakhstan,KAZ,EURO,REPORTING,2022-04-10,23749109,10421093,126.5,55.5,10022612,53.378,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",2021-04-07,5,3305404,17.604
Kenya,KEN,AFRO,REPORTING,2022-04-07,17734375,11874893,32.981,22.084,8399317,15.62,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-05,5,285700,0.531
Kiribati,KIR,WPRO,REPORTING,2022-03-13,136758,78620,114.491,65.819,55333,46.324,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-05-26,2,2805,2.348
Kosovo,XKX,EURO,REPORTING,2022-04-10,1871106,929869,104.2,51.784,840498,46.807,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,100739,5.61
Kuwait,KWT,EMRO,REPORTING,2022-04-12,7917422,3415828,185.395,79.985,3289299,77.022,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-28,5,1212295,28.387
Kyrgyzstan,KGZ,EURO,REPORTING,2022-04-10,2721035,1389734,41.7,21.301,1216512,18.646,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",2021-03-31,6,114789,1.759
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2022-04-06,10527679,5670200,144.699,77.935,4614786,63.429,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,8,1289144,17.719
Latvia,LVA,EURO,REPORTING,2022-03-27,2811093,1299148,147.4,68.101,1266212,66.375,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,517577,27.131
Lebanon,LBN,EMRO,REPORTING,2022-04-11,5586079,2673000,81.842,39.162,2344980,34.356,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-02-14,4,568099,8.323
Lesotho,LSO,AFRO,REPORTING,2022-03-22,905438,782175,42.266,36.512,727528,33.961,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-10,3,,
Liberia,LBR,AFRO,REPORTING,2022-04-01,1208041,1320810,23.885,26.115,1258577,24.884,SII - Covishield,2021-04-01,1,1912,0.038
Libya,LBY,EMRO,REPORTING,2022-04-10,3444646,2210577,50.131,32.171,1138504,16.569,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-04-11,7,95565,1.391
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-06,3,18310,47.255
Lithuania,LTU,EURO,REPORTING,2022-04-10,4458993,1948752,159.6,69.899,1897482,67.911,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,882340,31.579
Luxembourg,LUX,EURO,REPORTING,2022-04-10,1251437,468769,199.9,74.87,461368,73.688,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,357582,57.112
Madagascar,MDG,AFRO,REPORTING,2022-03-22,1306962,1098703,4.72,3.968,1050879,3.795,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-05-10,3,27380,0.099
Malawi,MWI,AFRO,REPORTING,2022-03-13,1993981,1570322,10.423,8.209,861888,4.505,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-11,2,,
Malaysia,MYS,WPRO,REPORTING,2022-04-01,68946956,27517579,213.023,85.02,25808478,79.739,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,8,15833048,48.919
Maldives,MDV,SEARO,REPORTING,2022-04-09,937148,398539,173.371,73.729,383811,71.005,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-01,8,154798,28.637
Mali,MLI,AFRO,REPORTING,2022-04-08,1941434,1380453,9.587,6.817,1020334,5.038,SII - Covishield,2021-03-31,1,,
Malta,MLT,EURO,REPORTING,2022-04-10,1206531,449649,234.5,87.384,443462,86.182,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,345692,67.182
Marshall Islands,MHL,WPRO,REPORTING,2022-03-17,57421,30074,97.005,50.806,24904,42.072,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-29,3,5152,8.704
Martinique,MTQ,AMRO,REPORTING,2022-04-08,376760,147899,100.398,39.412,142564,37.99,Pfizer BioNTech - Comirnaty,,1,86297,22.996
Mauritania,MRT,AFRO,REPORTING,2022-04-06,2118211,1559947,45.556,33.55,1064901,22.903,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-26,2,44345,0.954
Mauritius,MUS,AFRO,REPORTING,2022-03-11,2494317,1000474,196.13,78.668,963452,75.757,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-01-26,3,530381,41.704
Mexico,MEX,AMRO,REPORTING,2022-04-08,193500000,85650502,150.078,66.43,79854991,61.935,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-24,7,37349474,28.968
Micronesia (Federated States of),FSM,WPRO,REPORTING,2022-03-17,110099,62087,95.719,53.978,51505,44.778,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,4,9293,8.079
Monaco,MCO,EURO,REPORTING,2021-12-21,65140,28875,166,73.578,25667,65.404,Pfizer BioNTech - Comirnaty,2021-06-30,1,,
Mongolia,MNG,WPRO,REPORTING,2022-04-08,5596880,2272579,170.726,69.322,2174862,66.341,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6,1032684,31.501
Montenegro,MNE,EURO,REPORTING,2022-03-27,528291,276158,84.1,44.407,252133,40.544,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-02-24,4,,
Montserrat,MSR,AMRO,REPORTING,2022-04-08,4229,1898,84.597,37.968,1821,36.427,AstraZeneca - Vaxzevria,2021-02-08,1,510,10.202
Morocco,MAR,EMRO,REPORTING,2022-04-14,54362452,24894277,147.282,67.445,23369950,63.315,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-28,5,6195938,16.786
Mozambique,MOZ,AFRO,REPORTING,2022-04-09,9881136,5819672,31.614,18.62,4902455,15.685,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-08,3,313394,1.003
Myanmar,MMR,SEARO,REPORTING,2022-04-09,51530066,28128898,94.707,51.698,22238845,40.873,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-27,2,1162323,2.136
Namibia,NAM,AFRO,REPORTING,2022-03-25,834756,450833,32.853,17.743,383923,15.11,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,4,35908,1.413
Nauru,NRU,WPRO,REPORTING,2022-03-31,22976,9464,212.073,87.355,8585,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",2021-04-09,2,4927,45.477
Nepal,NPL,SEARO,REPORTING,2022-04-11,43757928,22096856,150.181,75.838,19288340,66.199,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,8,2372732,8.143
Netherlands,NLD,EURO,REPORTING,2022-04-10,35587410,13460905,204.4,77.328,12398559,71.225,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-06,4,9240951,53.086
New Caledonia,NCL,WPRO,REPORTING,2022-03-28,458085,188003,160.451,65.851,179880,63.006,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-20,2,90202,31.595
New Zealand,NZL,WPRO,REPORTING,2022-04-08,10992499,4263311,227.955,88.409,4054003,84.069,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-19,4,34082,0.707
Nicaragua,NIC,AMRO,REPORTING,2022-04-08,10003541,5604596,151.007,84.603,4398945,66.404,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-03,9,,
Niger,NER,AFRO,REPORTING,2022-04-08,2689995,2188727,11.113,9.042,1547552,6.393,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-29,2,,
Nigeria,NGA,AFRO,REPORTING,2022-04-07,33932163,22575395,16.461,10.952,13313220,6.458,SII - Covishield,2021-03-05,1,829646,0.402
Niue,NIU,WPRO,REPORTING,2022-03-13,4161,1650,257.169,101.978,1417,87.577,Pfizer BioNTech - Comirnaty,2021-06-08,1,1094,67.614
North Macedonia,MKD,EURO,REPORTING,2022-04-10,1843955,853139,88.5,41.09,836081,40.269,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-02-17,6,154735,7.453
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2022-03-16,,44512,,77.336,43590,75.734,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-19,3,,
Norway,NOR,EURO,REPORTING,2022-04-10,11278521,4331981,210.1,80.706,4035397,75.181,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,2918086,54.365
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-04-10,3712897,2000543,72.782,39.215,1765399,34.606,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-02,8,325091,6.373
Oman,OMN,EMRO,REPORTING,2022-04-07,7023686,3257895,137.541,63.797,3026373,59.264,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,5,739418,14.48
Pakistan,PAK,EMRO,REPORTING,2022-04-11,249609778,142011565,113.001,64.29,117538492,53.211,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-03,8,6498156,2.942
Palau,PLW,WPRO,REPORTING,2022-03-17,46724,20117,258.258,111.193,17833,98.568,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-03,3,11121,61.469
Panama,PAN,AMRO,REPORTING,2022-04-08,7973312,3453594,184.791,80.041,3043431,70.535,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2,1476287,34.215
Papua New Guinea,PNG,WPRO,REPORTING,2022-03-22,422817,317150,4.726,3.545,257566,2.879,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-30,4,10114,0.113
Paraguay,PRY,AMRO,REPORTING,2022-04-08,8621956,3881480,120.882,54.419,3446930,48.327,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-22,8,1293546,18.136
Peru,PER,AMRO,REPORTING,2022-04-01,67477949,28695243,204.653,87.03,26024856,78.931,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty",2021-02-09,3,12757850,38.693
Philippines,PHL,WPRO,REPORTING,2022-04-07,143751270,72242436,131.183,65.926,67097471,61.231,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,11,12382710,11.3
Pitcairn Islands,PCN,WPRO,REPORTING,2022-02-28,106,46,212,92,37,74,AstraZeneca - Vaxzevria,2021-05-17,1,23,46
Poland,POL,EURO,REPORTING,2022-04-10,54165921,22716514,142.7,59.846,22410760,59.041,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,11788127,31.056
Portugal,PRT,EURO,REPORTING,2022-04-10,23730626,9689432,230.5,94.204,8817520,85.641,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,6,6347173,61.648
